name;frameTime;Loudness_sma3;alphaRatio_sma3;hammarbergIndex_sma3;slope0-500_sma3;slope500-1500_sma3;F0semitoneFrom27.5Hz_sma3nz;jitterLocal_sma3nz;shimmerLocaldB_sma3nz;HNRdBACF_sma3nz;logRelF0-H1-H2_sma3nz;logRelF0-H1-A3_sma3nz;F1frequency_sma3nz;F1bandwidth_sma3nz;F1amplitudeLogRelF0_sma3nz;F2frequency_sma3nz;F2amplitudeLogRelF0_sma3nz;F3frequency_sma3nz;F3amplitudeLogRelF0_sma3nz
'unknown';421.150000;8.183446e-01;-1.377637e+01;2.244256e+01;7.351014e-02;-7.311310e-03;3.046606e+01;1.332891e-02;1.336430e+00;6.296543e+00;2.620581e+00;2.683259e+01;4.364850e+02;1.462397e+03;8.642144e-01;1.498300e+03;-1.371279e+01;2.551679e+03;-2.006610e+01
'unknown';421.200000;9.325483e-01;-1.488805e+01;2.588751e+01;5.985145e-02;-1.492511e-02;3.101338e+01;1.286995e-02;1.208822e+00;7.834268e+00;1.324410e+00;2.937667e+01;5.109819e+02;1.330122e+03;3.607490e+00;1.482578e+03;-1.161780e+01;2.552745e+03;-2.192832e+01
'unknown';421.250000;1.351780e+00;-1.320508e+01;2.656159e+01;5.042945e-02;-1.898063e-02;3.200432e+01;1.446301e-02;8.619604e-01;8.562968e+00;-1.733126e+00;2.495568e+01;5.353297e+02;1.237110e+03;2.816335e+00;1.512196e+03;-7.723820e+00;2.569748e+03;-1.829848e+01
'unknown';421.300000;1.733306e+00;-7.682671e+00;2.328028e+01;4.860157e-02;-1.538962e-02;3.239101e+01;1.191683e-02;7.636855e-01;8.351512e+00;-5.187179e+00;1.824085e+01;5.746629e+02;1.248499e+03;5.879218e+00;1521;-2.485278e+00;2.595392e+03;-1.137051e+01
'unknown';421.350000;1.730967e+00;-7.622438e+00;2.491974e+01;5.639965e-02;-1.097803e-02;3.143610e+01;1.606581e-02;6.866886e-01;6.938847e+00;-4.908677e+00;2.019957e+01;5.883834e+02;1.238916e+03;6.428835e+00;1.563935e+03;-2.448978e+00;2.660524e+03;-1.337749e+01
'unknown';421.400000;1.203468e+00;-1.344284e+01;2.875451e+01;6.294546e-02;-5.064551e-03;3.027303e+01;1.517347e-02;7.495487e-01;6.779372e+00;3.398813e+00;2.660601e+01;5.789257e+02;1.284804e+03;9.419235e+00;1.572392e+03;-9.725957e+00;2.653970e+03;-1.679353e+01
'unknown';421.450000;9.206526e-01;-1.476052e+01;2.857433e+01;6.991289e-02;-4.649789e-03;2.951147e+01;1.899627e-02;9.241679e-01;6.412632e+00;9.495600e+00;2.959558e+01;3.531304e+02;1.367920e+03;1.207105e+01;1.302444e+03;-7.707489e+00;2.255307e+03;-1.812240e+01
'unknown';421.500000;7.513533e-01;-1.601486e+01;2.828335e+01;6.275698e-02;-3.655808e-03;2.943706e+01;1.189793e-02;7.462396e-01;7.628822e+00;1.405885e+01;2.993587e+01;3.529681e+02;1.417209e+03;9.233936e+00;1.336049e+03;-9.674224e+00;2.305245e+03;-1.673656e+01
'unknown';421.550000;7.723774e-01;-1.556903e+01;2.663030e+01;5.961438e-02;-7.127564e-03;2.965881e+01;9.851698e-03;7.439721e-01;7.865376e+00;1.236680e+01;2.955710e+01;5.062684e+02;1.284701e+03;1.108124e+00;1.548836e+03;-1.001073e+01;2.498138e+03;-1.711242e+01
'unknown';421.600000;7.544741e-01;-1.644331e+01;2.849757e+01;6.082578e-02;-8.034054e-04;2.996549e+01;6.843094e-03;5.654789e-01;8.227383e+00;1.044253e+01;3.097131e+01;4.793095e+02;1.381550e+03;-4.384384e+00;1.481700e+03;-9.839028e+00;2.477740e+03;-1.884520e+01
